number,incident_state,category,subcategory,symptom,impact_clean,urgency_clean,priority_clean,contact_type,reassignment_count,reopen_count,made_sla,mttr_minutes,assignment_group
INC0000123,Closed,Category 53,Subcategory 194,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3207.0,Group 54
INC0000124,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,0,0,True,95.0,Group 33
INC0000125,Closed,Category 9,Subcategory 164,Symptom 607,Medium,Medium,P3,Phone,1,0,True,1381.0,Group 27
INC0000126,Closed,Category 53,Subcategory 127,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3206.0,Group 54
INC0000128,Closed,Category 44,Subcategory 54,Symptom 4,Medium,Medium,P3,Phone,2,0,False,15999.0,Group 39
INC0000129,Closed,Category 23,Subcategory 75,Symptom 4,Medium,Medium,P3,Phone,2,0,False,31910.0,Group 24
INC0000130,Closed,Category 61,Subcategory 164,Symptom 470,Medium,Medium,P3,Phone,1,0,True,4355.0,Group 73
INC0000131,Closed,Category 45,Subcategory 220,Symptom 580,Medium,Medium,P3,Phone,0,0,True,4306.0,Group 66
INC0000132,Closed,Category 9,Subcategory 164,Symptom 580,Medium,Medium,P3,Phone,2,0,True,4656.0,Group 23
INC0000134,Closed,Category 62,Subcategory 192,Symptom 580,Low,Low,P4,Phone,1,0,True,4237.0,Group 73
INC0000135,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,0,0,True,392.0,Group 70
INC0000137,Closed,Category 32,Subcategory 9,Symptom 470,Medium,Medium,P3,Phone,0,0,True,75.0,Group 70
INC0000139,Closed,Category 53,Subcategory 303,Symptom 4,Medium,Medium,P3,Phone,1,0,True,1446.0,Group 54
INC0000140,Closed,Category 9,Subcategory 164,Symptom 509,Medium,Medium,P3,Phone,1,0,True,4448.0,Group 25
INC0000141,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3186.0,Group 54
INC0000146,Closed,Category 53,Subcategory 194,Symptom 208,Medium,Medium,P3,Phone,0,0,True,3182.0,Group 54
INC0000147,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,1,0,False,20149.0,Group 25
INC0000148,Closed,Category 53,Subcategory 127,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3180.0,Group 54
INC0000149,Closed,Category 53,Subcategory 127,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3180.0,Group 54
INC0000152,Closed,Category 53,Subcategory 168,Symptom 4,Medium,Medium,P3,Phone,0,0,True,4275.0,Group 30
INC0000153,Closed,Category 53,Subcategory 194,Symptom 208,Medium,Medium,P3,Phone,0,0,True,3165.0,Group 54
INC0000155,Closed,Category 53,Subcategory 194,,Medium,Medium,P3,Phone,0,0,True,3170.0,Group 54
INC0000156,Closed,Category 53,Subcategory 127,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3168.0,Group 54
INC0000158,Closed,Category 53,Subcategory 127,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3169.0,Group 54
INC0000159,Closed,Category 24,Subcategory 164,Symptom 571,Medium,Medium,P3,Phone,1,0,True,2872.0,Group 28
INC0000160,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,0,0,True,,Group 70
INC0000161,Closed,Category 37,Subcategory 135,Symptom 529,Low,Low,P4,Phone,2,0,False,11464.0,Group 29
INC0000164,Closed,Category 53,Subcategory 114,Symptom 470,Medium,Medium,P3,Phone,2,0,True,4576.0,Group 70
INC0000166,Closed,Category 9,Subcategory 164,Symptom 117,Medium,Medium,P3,Phone,0,0,True,360.0,Group 27
INC0000167,Closed,Category 20,Subcategory 125,,Medium,Medium,P3,Phone,0,0,True,35.0,Group 70
INC0000168,Closed,Category 9,Subcategory 164,Symptom 7,Medium,Medium,P3,Phone,0,0,True,1358.0,Group 24
INC0000169,Closed,Category 53,Subcategory 127,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3156.0,Group 54
INC0000171,Closed,Category 24,Subcategory 164,Symptom 473,High,Medium,P2,Phone,4,0,False,26111.0,Group 70
INC0000172,Closed,Category 23,Subcategory 75,,Medium,Medium,P3,Phone,1,0,True,468.0,Group 20
INC0000173,Closed,Category 55,Subcategory 120,Symptom 580,Low,Medium,P4,Phone,1,0,False,60733.0,Group 65
INC0000174,Closed,Category 32,Subcategory 9,Symptom 580,Medium,Medium,P3,Phone,1,0,True,3022.0,Group 54
INC0000176,Closed,Category 53,Subcategory 127,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3147.0,Group 54
INC0000178,Closed,Category 20,Subcategory 103,Symptom 605,Medium,Medium,P3,Phone,0,0,True,70.0,Group 70
INC0000179,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,0,0,True,2794.0,Group 28
INC0000192,Closed,Category 45,Subcategory 200,Symptom 4,Medium,Medium,P3,Phone,0,0,True,4.0,Group 70
INC0000193,Closed,Category 37,Subcategory 135,Symptom 118,Medium,Medium,P3,Phone,1,0,True,1744.0,Group 46
INC0000194,Closed,Category 42,Subcategory 224,Symptom 4,Medium,Medium,P3,Phone,0,0,True,12.0,Group 70
INC0000195,Closed,Category 53,Subcategory 127,Symptom 470,Medium,Medium,P3,Phone,0,0,True,3135.0,Group 54
INC0000197,Closed,Category 45,Subcategory 200,Symptom 609,Medium,Medium,P3,Phone,7,0,False,44651.0,Group 27
INC0000199,Closed,Category 42,Subcategory 106,Symptom 242,Low,Low,P4,Phone,0,0,True,,Group 70
INC0000204,Closed,Category 53,Subcategory 168,Symptom 470,Low,Low,P4,Phone,0,0,True,330.0,Group 23
INC0000207,Closed,Category 9,Subcategory 164,Symptom 232,Medium,Medium,P3,Phone,0,0,True,536.0,Group 70
INC0000211,Closed,Category 23,Subcategory 3,,Medium,Medium,P3,Phone,0,0,True,4043.0,Group 70
INC0000213,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,0,0,True,88.0,Group 70
INC0000217,Closed,Category 37,Subcategory 123,,Medium,Medium,P3,Phone,2,0,False,11379.0,Group 29
INC0000218,Closed,Category 9,Subcategory 164,,Medium,Medium,P3,Phone,1,0,True,103.0,Group 23
INC0000220,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,1,0,False,13288.0,Group 23
INC0000221,Closed,Category 61,Subcategory 16,Symptom 486,Medium,Medium,P3,Phone,1,0,True,3008.0,Group 74
INC0000223,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,1,0,True,4136.0,Group 5
INC0000228,Closed,Category 26,Subcategory 175,,Medium,Medium,P3,Phone,0,0,True,237.0,Group 27
INC0000230,Closed,Category 55,Subcategory 270,Symptom 6,Medium,Medium,P3,Phone,1,0,False,10258.0,Group 33
INC0000232,Closed,Category 45,Subcategory 200,Symptom 470,Low,Low,P4,Phone,1,0,False,17823.0,Group 70
INC0000236,Closed,Category 45,Subcategory 223,Symptom 470,Medium,Medium,P3,Phone,0,0,True,50.0,Group 70
INC0000237,Closed,Category 45,Subcategory 200,Symptom 470,Medium,Medium,P3,Phone,0,0,True,1537.0,Group 70
INC0000246,Closed,Category 20,Subcategory 103,Symptom 592,Medium,Medium,P3,Phone,1,0,False,5715.0,Group 27
INC0000250,Closed,Category 32,Subcategory 9,,Medium,Medium,P3,Phone,4,0,False,17807.0,Group 70
INC0000253,Closed,Category 26,Subcategory 175,,Medium,Medium,P3,Phone,1,0,True,2665.0,Group 28
INC0000257,Closed,Category 37,Subcategory 144,Symptom 580,Medium,Medium,P3,Phone,0,0,True,580.0,Group 12
INC0000259,Closed,Category 9,Subcategory 164,Symptom 580,Medium,Medium,P3,Phone,1,0,True,2749.0,Group 27
INC0000260,Closed,Category 17,Subcategory 90,Symptom 4,Medium,Medium,P3,Phone,0,0,True,4457.0,Group 69
INC0000261,Closed,Category 42,Subcategory 31,Symptom 273,High,High,P1,Phone,0,0,True,293.0,Group 3
INC0000262,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,1,0,True,2662.0,Group 28
INC0000265,Closed,Category 20,Subcategory 103,Symptom 6,Medium,Medium,P3,Phone,4,0,True,3015.0,Group 69
INC0000266,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,1,0,False,5946.0,Group 28
INC0000268,Closed,Category 9,Subcategory 164,Symptom 470,Medium,Medium,P3,Phone,1,0,False,12682.0,Group 27
INC0000269,Closed,Category 26,Subcategory 175,Symptom 6,Medium,Medium,P3,Phone,0,0,True,,Group 70
INC0000272,Closed,Category 42,Subcategory 31,Symptom 4,Low,Medium,P4,Phone,4,0,False,11639.0,Group 39
INC0000273,Closed,Category 53,Subcategory 168,Symptom 470,Medium,Medium,P3,Phone,1,0,False,5822.0,Group 23
INC0000278,Closed,Category 45,Subcategory 29,,Medium,Medium,P3,Phone,0,0,True,58.0,Group 55
INC0000279,Closed,Category 20,Subcategory 103,Symptom 116,Medium,Medium,P3,Phone,0,0,True,2113.0,Group 70
INC0000280,Closed,Category 20,Subcategory 125,Symptom 6,Medium,Medium,P3,Phone,5,0,False,10447.0,Group 70
INC0000282,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,0,0,True,4242.0,Group 70
INC0000283,Closed,Category 42,Subcategory 31,,Medium,Medium,P3,Phone,1,0,True,1172.0,Group 39
INC0000284,Closed,Category 53,Subcategory 13,,Medium,Medium,P3,Phone,0,0,True,2762.0,Group 28
INC0000285,Closed,Category 45,Subcategory 223,,Medium,Medium,P3,Phone,0,0,True,2099.0,Group 70
INC0000286,Closed,Category 53,Subcategory 168,Symptom 470,Medium,Medium,P3,Phone,1,0,True,4451.0,Group 28
INC0000290,Closed,Category 45,Subcategory 223,Symptom 470,Medium,Medium,P3,Phone,0,0,True,,Group 70
INC0000292,Closed,Category 20,Subcategory 125,Symptom 486,Low,Low,P4,Phone,3,0,True,2633.0,Group 28
INC0000294,Closed,Category 20,Subcategory 125,Symptom 4,Medium,Medium,P3,Phone,1,1,False,19819.0,Group 25
INC0000295,Closed,Category 13,Subcategory 302,Symptom 208,Medium,Medium,P3,Phone,0,0,False,5484.0,Group 23
INC0000297,Closed,Category 13,Subcategory 302,Symptom 208,Medium,Medium,P3,Phone,0,0,False,5479.0,Group 23
INC0000298,Closed,Category 53,Subcategory 113,,Low,Low,P4,Phone,0,0,False,388431.0,Group 66
INC0000301,Closed,Category 45,Subcategory 29,Symptom 4,Medium,Medium,P3,Phone,1,0,True,1273.0,Group 55
INC0000302,Closed,Category 35,Subcategory 28,Symptom 4,Medium,Medium,P3,Phone,2,0,False,31594.0,Group 29
INC0000303,Closed,Category 53,Subcategory 109,Symptom 208,Low,Low,P4,Phone,0,0,False,14604.0,Group 33
INC0000304,Closed,Category 53,Subcategory 168,Symptom 4,Medium,Medium,P3,Phone,0,0,True,4364.0,Group 23
INC0000305,Closed,Category 53,Subcategory 168,Symptom 4,Medium,Medium,P3,Phone,1,0,False,5773.0,Group 28
INC0000306,Closed,Category 23,Subcategory 3,Symptom 4,Medium,Medium,P3,Phone,0,0,True,3020.0,Group 54
INC0000307,Closed,Category 45,Subcategory 220,,Low,Low,P4,Phone,0,0,False,423385.0,Group 66
INC0000310,Closed,Category 45,Subcategory 220,,Low,Low,P4,Phone,0,0,True,1394.0,Group 66
INC0000315,Closed,Category 23,Subcategory 3,,Medium,Medium,P3,Phone,1,0,False,9755.0,Group 72
INC0000317,Closed,Category 45,Subcategory 220,,Low,Low,P4,Phone,0,0,False,80786.0,Group 66
INC0000318,Closed,Category 45,Subcategory 220,,Low,Low,P4,Phone,0,0,False,40167.0,Group 66
INC0000319,Closed,Category 37,Subcategory 135,Symptom 509,Medium,Medium,P3,Phone,1,0,True,2908.0,Group 46
INC0000323,Closed,Category 20,Subcategory 103,Symptom 6,Medium,Medium,P3,Phone,0,0,True,,Group 70
INC0000324,Closed,Category 45,Subcategory 88,Symptom 327,Medium,Low,P4,Phone,0,0,False,155207.0,Group 31
INC0000325,Closed,Category 45,Subcategory 220,,Low,Low,P4,Phone,0,0,False,22687.0,Group 66
INC0000329,Closed,Category 42,Subcategory 31,Symptom 6,Medium,Medium,P3,Phone,4,0,False,22848.0,Group 28
INC0000330,Closed,Category 45,Subcategory 220,,Low,Low,P4,Phone,0,0,False,25852.0,Group 66
INC0000332,Closed,Category 26,Subcategory 175,Symptom 607,Medium,Medium,P3,Phone,5,0,False,12717.0,Group 70
INC0000333,Closed,Category 45,Subcategory 223,,Low,Low,P4,Phone,0,0,False,86085.0,Group 66
INC0000336,Closed,Category 45,Subcategory 220,,Low,Low,P4,Phone,0,0,False,14544.0,Group 66
INC0000337,Closed,Category 45,Subcategory 220,,Medium,Medium,P3,Phone,0,0,False,130876.0,Group 66
INC0000338,Closed,Category 45,Subcategory 220,,Low,Low,P4,Phone,0,0,False,51788.0,Group 66
INC0000339,Closed,Category 26,Subcategory 164,,Medium,Medium,P3,Phone,0,0,True,65.0,Group 23
INC0000341,Closed,Category 45,Subcategory 220,,High,High,P1,Phone,0,0,False,223160.0,Group 66
INC0000343,Closed,Category 45,Subcategory 88,Symptom 314,Medium,Low,P4,Phone,0,0,False,427337.0,Group 31
INC0000345,Closed,Category 24,Subcategory 164,Symptom 6,Medium,Medium,P3,Phone,2,0,True,1483.0,Group 23
INC0000346,Closed,Category 45,Subcategory 223,,Medium,Medium,P3,Phone,0,0,False,86068.0,Group 66
INC0000347,Closed,Category 61,Subcategory 164,,Medium,Medium,P3,Phone,0,0,True,3953.0,Group 30
INC0000348,Closed,Category 45,Subcategory 88,Symptom 270,Medium,Low,P4,Phone,0,0,False,70222.0,Group 31
INC0000351,Closed,Category 45,Subcategory 220,,Low,Low,P4,Phone,0,0,False,30287.0,Group 66
INC0000352,Closed,Category 32,Subcategory 9,Symptom 6,Medium,Medium,P3,Phone,0,0,True,,Group 70
INC0000353,Closed,Category 9,Subcategory 164,,Medium,Medium,P3,Phone,0,0,True,,Group 70
INC0000355,Closed,Category 61,Subcategory 16,Symptom 4,Medium,Medium,P3,Phone,0,0,True,4104.0,Group 30
INC0000356,Closed,Category 53,Subcategory 117,Symptom 387,Medium,Medium,P3,Phone,3,0,False,11120.0,Group 26
INC0000357,Closed,Category 23,Subcategory 3,,Medium,Medium,P3,Phone,0,0,True,2931.0,Group 70
INC0000358,Closed,,,,Low,Medium,P4,Phone,0,0,True,7.0,
INC0000359,Closed,,,,Medium,Low,P4,Phone,0,0,False,192605.0,Group 31
INC0000361,Closed,Category 53,Subcategory 303,Symptom 4,Medium,Medium,P3,Phone,1,0,False,13065.0,Group 54
INC0000363,Closed,Category 45,Subcategory 88,Symptom 312,Medium,Low,P4,Phone,0,0,False,40271.0,Group 31
INC0000369,Closed,Category 43,Subcategory 107,Symptom 218,Medium,Medium,P3,Phone,0,0,True,1065.0,Group 39
INC0000370,Closed,Category 37,Subcategory 135,Symptom 87,High,High,P1,Phone,0,0,False,998.0,Group 30
INC0000371,Closed,Category 45,Subcategory 88,Symptom 324,Medium,Low,P4,Phone,0,0,False,41881.0,Group 31
INC0000372,Closed,Category 20,Subcategory 103,Symptom 605,Medium,Medium,P3,Phone,0,0,True,5284.0,Group 29
INC0000373,Closed,Category 8,Subcategory 156,Symptom 107,Low,Low,P4,Phone,0,0,False,14516.0,Group 33
INC0000374,Closed,Category 32,Subcategory 9,,Medium,Medium,P3,Phone,0,0,True,23.0,Group 70
INC0000375,Closed,Category 45,Subcategory 88,Symptom 312,Medium,Low,P4,Phone,0,0,False,115155.0,Group 31
INC0000376,Closed,Category 61,Subcategory 16,Symptom 6,Medium,Medium,P3,Phone,1,0,False,10019.0,Group 73
INC0000377,Closed,Category 26,Subcategory 175,Symptom 208,Low,Medium,P4,Phone,0,0,True,20.0,Group 23
INC0000378,Closed,Category 45,Subcategory 47,Symptom 312,Medium,Medium,P3,Phone,0,0,False,45723.0,Group 31
INC0000379,Closed,Category 8,Subcategory 156,Symptom 4,Medium,Medium,P3,Phone,0,0,False,240.0,Group 56
INC0000384,Closed,Category 43,Subcategory 107,,Medium,Medium,P3,Phone,0,0,True,3884.0,Group 70
INC0000385,Closed,Category 53,Subcategory 127,Symptom 605,Medium,Medium,P3,Phone,0,0,False,39909.0,Group 76
INC0000387,Closed,Category 24,Subcategory 164,,Medium,Medium,P3,Phone,0,0,False,12619.0,Group 23
INC0000388,Closed,Category 45,Subcategory 94,Symptom 208,High,High,P1,Phone,0,0,False,31684.0,Group 33
INC0000392,Closed,Category 9,Subcategory 164,Symptom 6,Medium,Medium,P3,Phone,0,0,True,2539.0,Group 28
INC0000393,Closed,Category 45,Subcategory 229,,Medium,Medium,P3,Phone,1,0,True,1005.0,Group 6
INC0000395,Closed,Category 24,Subcategory 164,,Medium,Medium,P3,Phone,2,0,True,2875.0,Group 23
INC0000396,Closed,Category 40,Subcategory 44,Symptom 4,Medium,Medium,P3,Phone,5,0,False,17116.0,Group 70
INC0000398,Closed,Category 45,Subcategory 200,Symptom 4,Medium,Medium,P3,Phone,0,0,True,985.0,Group 39
INC0000399,Closed,Category 9,Subcategory 164,,Medium,Medium,P3,Phone,0,0,True,,Group 70
INC0000400,Closed,Category 45,Subcategory 150,Symptom 208,Medium,Medium,P3,Phone,1,0,False,20251.0,Group 70
INC0000401,Closed,Category 24,Subcategory 164,Symptom 571,Medium,Medium,P3,Phone,0,0,True,1398.0,Group 23
INC0000403,Closed,Category 40,Subcategory 215,,Medium,Medium,P3,Phone,1,1,False,10005.0,Group 24
INC0000405,Closed,Category 34,Subcategory 162,,Medium,Medium,P3,Phone,0,0,True,3811.0,Group 30
INC0000418,Closed,Category 55,Subcategory 185,Symptom 530,Medium,Medium,P3,Phone,0,0,False,24342.0,Group 25
INC0000419,Closed,Category 53,Subcategory 303,,Medium,Medium,P3,Phone,0,0,False,32881.0,Group 25
INC0000425,Closed,Category 55,Subcategory 170,,Medium,Medium,P3,Phone,0,0,True,3032.0,Group 65
INC0000433,Closed,Category 19,Subcategory 289,Symptom 117,High,High,P1,Phone,0,0,False,36205.0,Group 61
INC0000434,Closed,Category 9,Subcategory 164,,Medium,Medium,P3,Phone,0,0,True,55.0,Group 24
INC0000439,Closed,Category 45,Subcategory 220,,Medium,Medium,P3,Phone,0,0,True,3608.0,Group 66
INC0000440,Closed,Category 53,Subcategory 80,,Medium,Medium,P3,Phone,3,0,True,1390.0,Group 56
INC0000441,Closed,Category 45,Subcategory 229,Symptom 236,High,High,P1,Phone,7,0,False,21091.0,Group 15
INC0000455,Closed,Category 40,Subcategory 215,,Medium,Medium,P3,Phone,0,0,True,20.0,Group 70
INC0000458,Closed,Category 53,Subcategory 303,Symptom 571,Medium,Medium,P3,Phone,6,0,False,25315.0,Group 70
INC0000464,Closed,Category 37,Subcategory 123,,Medium,Medium,P3,Phone,1,0,False,31066.0,Group 48
INC0000467,Closed,Category 46,Subcategory 231,Symptom 263,Medium,Medium,P3,Phone,2,0,False,62457.0,Group 37
INC0000468,Closed,Category 53,Subcategory 130,Symptom 4,Medium,Medium,P3,Phone,0,0,True,455.0,Group 24
INC0000469,Closed,Category 45,Subcategory 94,,Medium,Medium,P3,Phone,0,0,True,1975.0,Group 33
INC0000473,Closed,Category 37,Subcategory 123,Symptom 509,Medium,Medium,P3,Phone,0,0,False,31045.0,Group 48
INC0000477,Closed,Category 37,Subcategory 135,,Medium,Medium,P3,Phone,1,0,True,1831.0,Group 24
INC0000480,Closed,Category 63,Subcategory 164,,Medium,Medium,P3,Phone,1,0,True,403.0,Group 65
INC0000486,Closed,Category 40,Subcategory 215,,Medium,Medium,P3,Phone,0,0,True,20.0,Group 70
INC0000491,Closed,Category 45,Subcategory 29,Symptom 470,Medium,Medium,P3,Phone,0,0,True,46.0,Group 70
INC0000493,Closed,Category 9,Subcategory 164,Symptom 472,Medium,Medium,P3,Phone,5,0,False,23543.0,Group 70
INC0000494,Closed,Category 55,Subcategory 170,Symptom 607,Medium,Medium,P3,Phone,1,0,True,3064.0,Group 65
INC0000497,Closed,Category 23,Subcategory 75,Symptom 6,Medium,Medium,P3,Phone,1,0,True,4928.0,Group 54
INC0000499,Closed,Category 53,Subcategory 83,Symptom 4,Medium,Medium,P3,Phone,0,0,True,81.0,Group 24
INC0000500,Closed,Category 13,Subcategory 302,Symptom 470,High,Medium,P2,Phone,0,0,False,1512.0,Group 28
INC0000503,Closed,Category 53,Subcategory 168,Symptom 4,Medium,Medium,P3,Phone,2,0,True,2003.0,Group 28
INC0000504,Closed,Category 32,Subcategory 9,Symptom 4,Medium,Medium,P3,Phone,2,0,True,1944.0,Group 39
INC0000505,Closed,Category 55,Subcategory 170,Symptom 315,Medium,Medium,P3,Phone,1,0,True,3000.0,Group 65
INC0000508,Closed,Category 51,Subcategory 25,Symptom 4,High,Medium,P2,Phone,0,0,False,23673.0,Group 25
INC0000509,Closed,Category 53,Subcategory 153,Symptom 580,Medium,Medium,P3,Phone,1,0,True,3427.0,Group 28
INC0000510,Closed,Category 43,Subcategory 105,Symptom 4,Medium,Medium,P3,Phone,1,0,True,3393.0,Group 39
INC0000511,Closed,Category 37,Subcategory 123,Symptom 529,Low,Low,P4,Phone,1,0,False,30647.0,Group 48
INC0000512,Closed,Category 53,Subcategory 271,Symptom 470,Medium,Medium,P3,Phone,1,0,True,2932.0,Group 30
INC0000513,Closed,Category 32,Subcategory 9,Symptom 4,Medium,Medium,P3,Phone,0,0,True,3328.0,Group 70
INC0000516,Closed,Category 45,Subcategory 29,,Medium,Medium,P3,Phone,0,0,True,111.0,Group 55
INC0000517,Closed,Category 45,Subcategory 200,Symptom 571,Low,High,P3,Phone,3,0,False,70714.0,Group 72
INC0000519,Closed,Category 20,Subcategory 103,Symptom 470,Medium,Medium,P3,Phone,0,0,True,1590.0,Group 28
INC0000520,Closed,Category 20,Subcategory 125,Symptom 6,Medium,Medium,P3,Phone,3,0,True,3181.0,Group 25
INC0000521,Closed,Category 22,Subcategory 277,,Medium,Medium,P3,Phone,0,0,True,1402.0,Group 72
INC0000524,Closed,Category 43,Subcategory 107,Symptom 491,Medium,Medium,P3,Phone,1,0,False,21857.0,Group 70
